year,month,germany,north,south
1991,1,24.568440206237174,20.96191584342808,28.178416422287388
1991,2,47.00837326814726,39.4014573129715,54.622569905457226
1991,3,74.89459367161125,74.74291034528767,75.04642217609776
1991,4,119.82521241093924,114.87140661222266,124.78375956417948
1991,5,133.72176886753098,132.9185144458219,134.52579209491006
1991,6,136.69694924162786,132.2479993773592,141.15015725597777
1991,7,178.08550994755078,175.6111544427087,180.56223369150894
1991,8,142.311752710061,129.50992717326645,155.1258310472046
1991,9,99.16745932822747,93.44423262304105,104.89616381109252
1991,10,61.85739136117646,59.87729190177842,63.839386000545325
1991,11,23.678868031569635,22.114167468131356,25.245066191077694
1991,12,17.66595256767505,14.480968039626637,20.853985487487964
1992,1,20.96191258836551,16.822595188988153,25.10519178440461
1992,2,36.240234797795246,30.49056337871569,41.99540930514671
1992,3,67.72433531895012,62.08196609943351,73.37210492635234
1992,4,109.33988695332967,102.08374763035152,116.60297122538353
1992,5,181.1997741291374,178.190381200696,184.21204738824866
1992,6,167.49805492983597,178.38971436354439,156.59597094158826
1992,7,160.59793712769687,158.86089977151306,162.33663702582538
1992,8,137.74581432536306,126.53782487116338,148.9645310978426
1992,9,97.5305967696184,95.57092656730359,99.49214259878579
1992,10,48.87645258714188,49.37235536110386,48.38007517792852
1992,11,22.950523518713187,21.432832793155402,24.46966684658917
1992,12,17.214080331269848,14.613525369831944,19.817124319030423
1993,1,24.76178271679097,22.123783932532422,27.40230636536139
1993,2,37.39740615596825,31.020514957276834,43.78040076346497
1993,3,88.989677128698,83.0342089404544,94.9508453760844
1993,4,125.2025121389598,124.3698818650315,126.0359393345835
1993,5,163.33436485291418,158.7574844200824,167.91562587990452
1993,6,155.5661249603711,155.79624069513395,155.33578897872647
1993,7,140.82940203456198,134.8640939742827,146.80041957185864
1993,8,141.5072868799119,127.00130443242402,156.02715319937454
1993,9,81.42990205402879,74.13554839642204,88.73123723616777
1993,10,47.989728548942395,48.15835989748665,47.82093580105394
1993,11,22.92228045585757,19.73383135329861,26.113781266172158
1993,12,13.640140856429337,11.064846202169235,16.21790036003049
1994,1,19.42574566306808,15.87416024105093,22.980730355523157
1994,2,40.5137682779641,36.69224461999455,44.338949567907754
1994,3,66.44657586780353,61.33833376881126,71.55970713439098
1994,4,108.6028622082061,111.02497061913843,106.17843556455784
1994,5,147.32167256233558,144.7996713346194,149.84608763153355
1994,6,164.29169186230834,158.9311168618905,169.65739754155373
1994,7,191.33477607582054,195.73722274417804,186.92811576621946
1994,8,137.74681722870187,131.4216787951901,144.07800953774756
1994,9,79.8158307053111,73.83334775043224,85.80403957553128
1994,10,64.32764676600313,59.351185685933324,69.30887088427274
1994,11,23.84390332215381,22.702218435726238,24.986680930625962
1994,12,17.44401764807306,15.408686839486542,19.481296499301642
1995,1,23.536663051397994,20.378576098377245,26.697772652150448
1995,2,34.722372951116,32.38749220309208,37.05948844508005
1995,3,79.77303304355564,76.3048534848426,83.2445320438269
1995,4,102.24069371443828,104.35601209702078,100.12335073202492
1995,5,153.67787522317332,154.60955342202257,152.7453053025202
1995,6,143.21221880162184,147.67701944084632,138.74314484132503
1995,7,183.73755660676446,184.46159824103984,183.01282198244922
1995,8,151.64644794291215,158.32217307189833,144.9643333871246
1995,9,79.5224214513357,78.37808232200535,80.66785584312241
1995,10,58.77909415272008,57.402773475502975,60.15673212507025
1995,11,26.64672089569672,24.857695228459132,28.437458863594628
1995,12,15.944426062193743,14.155350096453725,17.735214376735463
1996,1,24.29928629034501,22.693141778640086,25.906968064683067
1996,2,42.61328130127425,37.438642865481796,47.79287245349374
1996,3,80.77597531605791,74.24171887769,87.31648577963017
1996,4,128.92242729138508,126.89445227069308,130.9523433143951
1996,5,121.41024252890824,118.3147653144614,124.50868246645928
1996,6,158.41643089552988,148.23318764280435,168.60942066808747
1996,7,155.56250443565656,145.78477432051548,165.34959294852175
1996,8,134.58538071560073,135.42441535698998,133.74554302280936
